P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000
